"Tabela 4092 - Pessoas de 14 anos ou mais de idade, por condição em relação à força de trabalho e condição de ocupação"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Condição em relação à força de trabalho e condição de ocupação";"Brasil, Grande Região e Unidade da Federação";"Trimestre";""
"Força de trabalho";"Paraná";"3º trimestre 2021";"6072"
"Força de trabalho";"Paraná";"4º trimestre 2021";"6249"
"Força de trabalho";"Santa Catarina";"1º trimestre 2018";"3871"
"Força de trabalho";"Santa Catarina";"2º trimestre 2018";"3852"
"Força de trabalho";"Santa Catarina";"3º trimestre 2018";"3887"
"Força de trabalho";"Santa Catarina";"4º trimestre 2018";"3939"
"Força de trabalho";"Santa Catarina";"1º trimestre 2019";"3920"
"Força de trabalho";"Santa Catarina";"2º trimestre 2019";"3916"
"Força de trabalho";"Santa Catarina";"3º trimestre 2019";"3922"
"Força de trabalho";"Santa Catarina";"4º trimestre 2019";"3983"
"Força de trabalho";"Santa Catarina";"1º trimestre 2020";"3896"
"Força de trabalho";"Santa Catarina";"2º trimestre 2020";"3813"
"Força de trabalho";"Santa Catarina";"3º trimestre 2020";"3784"
"Força de trabalho";"Santa Catarina";"4º trimestre 2020";"3790"
"Força de trabalho";"Santa Catarina";"1º trimestre 2021";"3794"
"Força de trabalho";"Santa Catarina";"2º trimestre 2021";"3896"
"Força de trabalho";"Santa Catarina";"3º trimestre 2021";"3924"
"Força de trabalho";"Santa Catarina";"4º trimestre 2021";"3987"
"Força de trabalho";"Rio Grande do Sul";"1º trimestre 2018";"6056"
"Força de trabalho";"Rio Grande do Sul";"2º trimestre 2018";"6007"
"Força de trabalho";"Rio Grande do Sul";"3º trimestre 2018";"6032"
"Força de trabalho";"Rio Grande do Sul";"4º trimestre 2018";"6121"
"Força de trabalho";"Rio Grande do Sul";"1º trimestre 2019";"6164"
"Força de trabalho";"Rio Grande do Sul";"2º trimestre 2019";"6229"
"Força de trabalho";"Rio Grande do Sul";"3º trimestre 2019";"6212"
"Força de trabalho";"Rio Grande do Sul";"4º trimestre 2019";"6274"
"Força de trabalho";"Rio Grande do Sul";"1º trimestre 2020";"6197"
"Força de trabalho";"Rio Grande do Sul";"2º trimestre 2020";"5806"
"Força de trabalho";"Rio Grande do Sul";"3º trimestre 2020";"5711"
"Força de trabalho";"Rio Grande do Sul";"4º trimestre 2020";"5863"
"Força de trabalho";"Rio Grande do Sul";"1º trimestre 2021";"5925"
"Força de trabalho";"Rio Grande do Sul";"2º trimestre 2021";"6023"
"Força de trabalho";"Rio Grande do Sul";"3º trimestre 2021";"6086"
"Força de trabalho";"Rio Grande do Sul";"4º trimestre 2021";"6173"
"Força de trabalho";"Mato Grosso do Sul";"1º trimestre 2018";"1407"
"Força de trabalho";"Mato Grosso do Sul";"2º trimestre 2018";"1402"
"Força de trabalho";"Mato Grosso do Sul";"3º trimestre 2018";"1432"
"Força de trabalho";"Mato Grosso do Sul";"4º trimestre 2018";"1438"
"Força de trabalho";"Mato Grosso do Sul";"1º trimestre 2019";"1431"
"Força de trabalho";"Mato Grosso do Sul";"2º trimestre 2019";"1461"
"Força de trabalho";"Mato Grosso do Sul";"3º trimestre 2019";"1440"
"Força de trabalho";"Mato Grosso do Sul";"4º trimestre 2019";"1432"
"Força de trabalho";"Mato Grosso do Sul";"1º trimestre 2020";"1406"
"Força de trabalho";"Mato Grosso do Sul";"2º trimestre 2020";"1327"
"Força de trabalho";"Mato Grosso do Sul";"3º trimestre 2020";"1329"
"Força de trabalho";"Mato Grosso do Sul";"4º trimestre 2020";"1354"
"Força de trabalho";"Mato Grosso do Sul";"1º trimestre 2021";"1379"
"Força de trabalho";"Mato Grosso do Sul";"2º trimestre 2021";"1405"
"Força de trabalho";"Mato Grosso do Sul";"3º trimestre 2021";"1404"
"Força de trabalho";"Mato Grosso do Sul";"4º trimestre 2021";"1435"
"Força de trabalho";"Mato Grosso";"1º trimestre 2018";"1731"
"Força de trabalho";"Mato Grosso";"2º trimestre 2018";"1756"
"Força de trabalho";"Mato Grosso";"3º trimestre 2018";"1773"
"Força de trabalho";"Mato Grosso";"4º trimestre 2018";"1796"
"Força de trabalho";"Mato Grosso";"1º trimestre 2019";"1823"
"Força de trabalho";"Mato Grosso";"2º trimestre 2019";"1853"
"Força de trabalho";"Mato Grosso";"3º trimestre 2019";"1855"
"Força de trabalho";"Mato Grosso";"4º trimestre 2019";"1820"
"Força de trabalho";"Mato Grosso";"1º trimestre 2020";"1842"
"Força de trabalho";"Mato Grosso";"2º trimestre 2020";"1779"
"Força de trabalho";"Mato Grosso";"3º trimestre 2020";"1780"
"Força de trabalho";"Mato Grosso";"4º trimestre 2020";"1851"
"Força de trabalho";"Mato Grosso";"1º trimestre 2021";"1812"
"Força de trabalho";"Mato Grosso";"2º trimestre 2021";"1805"
"Força de trabalho";"Mato Grosso";"3º trimestre 2021";"1807"
"Força de trabalho";"Mato Grosso";"4º trimestre 2021";"1819"
"Força de trabalho";"Goiás";"1º trimestre 2018";"3673"
"Força de trabalho";"Goiás";"2º trimestre 2018";"3669"
"Força de trabalho";"Goiás";"3º trimestre 2018";"3673"
"Força de trabalho";"Goiás";"4º trimestre 2018";"3689"
"Força de trabalho";"Goiás";"1º trimestre 2019";"3751"
"Força de trabalho";"Goiás";"2º trimestre 2019";"3764"
"Força de trabalho";"Goiás";"3º trimestre 2019";"3847"
"Força de trabalho";"Goiás";"4º trimestre 2019";"3836"
"Força de trabalho";"Goiás";"1º trimestre 2020";"3765"
"Força de trabalho";"Goiás";"2º trimestre 2020";"3511"
"Força de trabalho";"Goiás";"3º trimestre 2020";"3541"
"Força de trabalho";"Goiás";"4º trimestre 2020";"3580"
"Força de trabalho";"Goiás";"1º trimestre 2021";"3643"
"Força de trabalho";"Goiás";"2º trimestre 2021";"3664"
"Força de trabalho";"Goiás";"3º trimestre 2021";"3745"
"Força de trabalho";"Goiás";"4º trimestre 2021";"3792"
"Força de trabalho";"Distrito Federal";"1º trimestre 2018";"1615"
"Força de trabalho";"Distrito Federal";"2º trimestre 2018";"1627"
"Força de trabalho";"Distrito Federal";"3º trimestre 2018";"1659"
"Força de trabalho";"Distrito Federal";"4º trimestre 2018";"1661"
"Força de trabalho";"Distrito Federal";"1º trimestre 2019";"1677"
"Força de trabalho";"Distrito Federal";"2º trimestre 2019";"1696"
"Força de trabalho";"Distrito Federal";"3º trimestre 2019";"1696"
"Força de trabalho";"Distrito Federal";"4º trimestre 2019";"1674"
"Força de trabalho";"Distrito Federal";"1º trimestre 2020";"1677"
"Força de trabalho";"Distrito Federal";"2º trimestre 2020";"1552"
"Força de trabalho";"Distrito Federal";"3º trimestre 2020";"1581"
"Força de trabalho";"Distrito Federal";"4º trimestre 2020";"1625"
"Força de trabalho";"Distrito Federal";"1º trimestre 2021";"1658"
"Força de trabalho";"Distrito Federal";"2º trimestre 2021";"1642"
"Força de trabalho";"Distrito Federal";"3º trimestre 2021";"1701"
"Força de trabalho";"Distrito Federal";"4º trimestre 2021";"1734"
"Força de trabalho - ocupada";"Brasil";"1º trimestre 2018";"90879"
"Força de trabalho - ocupada";"Brasil";"2º trimestre 2018";"91462"
"Força de trabalho - ocupada";"Brasil";"3º trimestre 2018";"92930"
"Força de trabalho - ocupada";"Brasil";"4º trimestre 2018";"93534"
"Força de trabalho - ocupada";"Brasil";"1º trimestre 2019";"92621"
"Força de trabalho - ocupada";"Brasil";"2º trimestre 2019";"94159"
"Força de trabalho - ocupada";"Brasil";"3º trimestre 2019";"94737"
"Força de trabalho - ocupada";"Brasil";"4º trimestre 2019";"95515"
"Força de trabalho - ocupada";"Brasil";"1º trimestre 2020";"93115"
"Força de trabalho - ocupada";"Brasil";"2º trimestre 2020";"84051"
"Força de trabalho - ocupada";"Brasil";"3º trimestre 2020";"83439"
"Força de trabalho - ocupada";"Brasil";"4º trimestre 2020";"87225"
"Força de trabalho - ocupada";"Brasil";"1º trimestre 2021";"87082"
"Força de trabalho - ocupada";"Brasil";"2º trimestre 2021";"89384"
"Força de trabalho - ocupada";"Brasil";"3º trimestre 2021";"92976"
"Força de trabalho - ocupada";"Brasil";"4º trimestre 2021";"95747"
"Força de trabalho - ocupada";"Norte";"1º trimestre 2018";"7067"
"Força de trabalho - ocupada";"Norte";"2º trimestre 2018";"7126"
"Força de trabalho - ocupada";"Norte";"3º trimestre 2018";"7253"
"Força de trabalho - ocupada";"Norte";"4º trimestre 2018";"7321"
"Força de trabalho - ocupada";"Norte";"1º trimestre 2019";"7178"
"Força de trabalho - ocupada";"Norte";"2º trimestre 2019";"7331"
"Força de trabalho - ocupada";"Norte";"3º trimestre 2019";"7422"
"Força de trabalho - ocupada";"Norte";"4º trimestre 2019";"7493"
"Força de trabalho - ocupada";"Norte";"1º trimestre 2020";"7373"
"Força de trabalho - ocupada";"Norte";"2º trimestre 2020";"6794"
"Força de trabalho - ocupada";"Norte";"3º trimestre 2020";"6895"
"Força de trabalho - ocupada";"Norte";"4º trimestre 2020";"7214"
"Força de trabalho - ocupada";"Norte";"1º trimestre 2021";"6995"
"Força de trabalho - ocupada";"Norte";"2º trimestre 2021";"7247"
"Força de trabalho - ocupada";"Norte";"3º trimestre 2021";"7628"
"Força de trabalho - ocupada";"Norte";"4º trimestre 2021";"7784"
"Força de trabalho - ocupada";"Nordeste";"1º trimestre 2018";"20788"
"Força de trabalho - ocupada";"Nordeste";"2º trimestre 2018";"20853"
"Força de trabalho - ocupada";"Nordeste";"3º trimestre 2018";"21363"
"Força de trabalho - ocupada";"Nordeste";"4º trimestre 2018";"21404"
"Força de trabalho - ocupada";"Nordeste";"1º trimestre 2019";"21120"
"Força de trabalho - ocupada";"Nordeste";"2º trimestre 2019";"21458"
"Força de trabalho - ocupada";"Nordeste";"3º trimestre 2019";"21536"
"Força de trabalho - ocupada";"Nordeste";"4º trimestre 2019";"21744"
"Força de trabalho - ocupada";"Nordeste";"1º trimestre 2020";"21033"
"Força de trabalho - ocupada";"Nordeste";"2º trimestre 2020";"18258"
"Força de trabalho - ocupada";"Nordeste";"3º trimestre 2020";"18216"
"Força de trabalho - ocupada";"Nordeste";"4º trimestre 2020";"19611"
"Força de trabalho - ocupada";"Nordeste";"1º trimestre 2021";"19430"
"Força de trabalho - ocupada";"Nordeste";"2º trimestre 2021";"19888"
"Força de trabalho - ocupada";"Nordeste";"3º trimestre 2021";"20912"
"Força de trabalho - ocupada";"Nordeste";"4º trimestre 2021";"21481"
"Força de trabalho - ocupada";"Sudeste";"1º trimestre 2018";"40903"
"Força de trabalho - ocupada";"Sudeste";"2º trimestre 2018";"41284"
"Força de trabalho - ocupada";"Sudeste";"3º trimestre 2018";"41853"
"Força de trabalho - ocupada";"Sudeste";"4º trimestre 2018";"42010"
"Força de trabalho - ocupada";"Sudeste";"1º trimestre 2019";"41740"
"Força de trabalho - ocupada";"Sudeste";"2º trimestre 2019";"42537"
"Força de trabalho - ocupada";"Sudeste";"3º trimestre 2019";"42880"
"Força de trabalho - ocupada";"Sudeste";"4º trimestre 2019";"43086"
"Força de trabalho - ocupada";"Sudeste";"1º trimestre 2020";"42010"
"Força de trabalho - ocupada";"Sudeste";"2º trimestre 2020";"37660"
"Força de trabalho - ocupada";"Sudeste";"3º trimestre 2020";"37286"
"Força de trabalho - ocupada";"Sudeste";"4º trimestre 2020";"38634"
"Força de trabalho - ocupada";"Sudeste";"1º trimestre 2021";"38851"
"Força de trabalho - ocupada";"Sudeste";"2º trimestre 2021";"40212"
"Força de trabalho - ocupada";"Sudeste";"3º trimestre 2021";"41750"
"Força de trabalho - ocupada";"Sudeste";"4º trimestre 2021";"43143"
"Força de trabalho - ocupada";"Sul";"1º trimestre 2018";"14586"
"Força de trabalho - ocupada";"Sul";"2º trimestre 2018";"14550"
"Força de trabalho - ocupada";"Sul";"3º trimestre 2018";"14689"
"Força de trabalho - ocupada";"Sul";"4º trimestre 2018";"14946"
"Força de trabalho - ocupada";"Sul";"1º trimestre 2019";"14851"
"Força de trabalho - ocupada";"Sul";"2º trimestre 2019";"14967"
"Força de trabalho - ocupada";"Sul";"3º trimestre 2019";"14965"
"Força de trabalho - ocupada";"Sul";"4º trimestre 2019";"15257"
"Força de trabalho - ocupada";"Sul";"1º trimestre 2020";"14940"
"Força de trabalho - ocupada";"Sul";"2º trimestre 2020";"14204"
"Força de trabalho - ocupada";"Sul";"3º trimestre 2020";"13876"
"Força de trabalho - ocupada";"Sul";"4º trimestre 2020";"14373"
"Força de trabalho - ocupada";"Sul";"1º trimestre 2021";"14398"
"Força de trabalho - ocupada";"Sul";"2º trimestre 2021";"14514"
"Força de trabalho - ocupada";"Sul";"3º trimestre 2021";"14879"
"Força de trabalho - ocupada";"Sul";"4º trimestre 2021";"15303"
"Força de trabalho - ocupada";"Centro-Oeste";"1º trimestre 2018";"7534"
"Força de trabalho - ocupada";"Centro-Oeste";"2º trimestre 2018";"7648"
"Força de trabalho - ocupada";"Centro-Oeste";"3º trimestre 2018";"7772"
"Força de trabalho - ocupada";"Centro-Oeste";"4º trimestre 2018";"7853"
"Força de trabalho - ocupada";"Centro-Oeste";"1º trimestre 2019";"7733"
"Força de trabalho - ocupada";"Centro-Oeste";"2º trimestre 2019";"7866"
"Força de trabalho - ocupada";"Centro-Oeste";"3º trimestre 2019";"7934"
"Força de trabalho - ocupada";"Centro-Oeste";"4º trimestre 2019";"7934"
"Força de trabalho - ocupada";"Centro-Oeste";"1º trimestre 2020";"7759"
"Força de trabalho - ocupada";"Centro-Oeste";"2º trimestre 2020";"7134"
"Força de trabalho - ocupada";"Centro-Oeste";"3º trimestre 2020";"7165"
"Força de trabalho - ocupada";"Centro-Oeste";"4º trimestre 2020";"7392"
"Força de trabalho - ocupada";"Centro-Oeste";"1º trimestre 2021";"7408"
"Força de trabalho - ocupada";"Centro-Oeste";"2º trimestre 2021";"7523"
"Força de trabalho - ocupada";"Centro-Oeste";"3º trimestre 2021";"7808"
"Força de trabalho - ocupada";"Centro-Oeste";"4º trimestre 2021";"8038"
"Força de trabalho - ocupada";"Rondônia";"1º trimestre 2018";"765"
"Força de trabalho - ocupada";"Rondônia";"2º trimestre 2018";"768"
"Força de trabalho - ocupada";"Rondônia";"3º trimestre 2018";"788"
"Força de trabalho - ocupada";"Rondônia";"4º trimestre 2018";"796"
"Força de trabalho - ocupada";"Rondônia";"1º trimestre 2019";"792"
"Força de trabalho - ocupada";"Rondônia";"2º trimestre 2019";"809"
"Força de trabalho - ocupada";"Rondônia";"3º trimestre 2019";"812"
"Força de trabalho - ocupada";"Rondônia";"4º trimestre 2019";"810"
"Força de trabalho - ocupada";"Rondônia";"1º trimestre 2020";"817"
"Força de trabalho - ocupada";"Rondônia";"2º trimestre 2020";"731"
"Força de trabalho - ocupada";"Rondônia";"3º trimestre 2020";"720"
"Força de trabalho - ocupada";"Rondônia";"4º trimestre 2020";"751"
"Força de trabalho - ocupada";"Rondônia";"1º trimestre 2021";"749"
"Força de trabalho - ocupada";"Rondônia";"2º trimestre 2021";"782"
"Força de trabalho - ocupada";"Rondônia";"3º trimestre 2021";"827"
"Força de trabalho - ocupada";"Rondônia";"4º trimestre 2021";"853"
"Força de trabalho - ocupada";"Acre";"1º trimestre 2018";"307"
"Força de trabalho - ocupada";"Acre";"2º trimestre 2018";"303"
"Força de trabalho - ocupada";"Acre";"3º trimestre 2018";"311"
"Força de trabalho - ocupada";"Acre";"4º trimestre 2018";"316"
"Força de trabalho - ocupada";"Acre";"1º trimestre 2019";"292"
"Força de trabalho - ocupada";"Acre";"2º trimestre 2019";"309"
"Força de trabalho - ocupada";"Acre";"3º trimestre 2019";"309"
"Força de trabalho - ocupada";"Acre";"4º trimestre 2019";"304"
"Força de trabalho - ocupada";"Acre";"1º trimestre 2020";"293"
"Força de trabalho - ocupada";"Acre";"2º trimestre 2020";"289"
"Força de trabalho - ocupada";"Acre";"3º trimestre 2020";"276"
"Força de trabalho - ocupada";"Acre";"4º trimestre 2020";"301"
"Força de trabalho - ocupada";"Acre";"1º trimestre 2021";"300"
"Força de trabalho - ocupada";"Acre";"2º trimestre 2021";"326"
"Força de trabalho - ocupada";"Acre";"3º trimestre 2021";"326"
"Força de trabalho - ocupada";"Acre";"4º trimestre 2021";"331"
"Força de trabalho - ocupada";"Amazonas";"1º trimestre 2018";"1543"
"Força de trabalho - ocupada";"Amazonas";"2º trimestre 2018";"1518"
"Força de trabalho - ocupada";"Amazonas";"3º trimestre 2018";"1573"
"Força de trabalho - ocupada";"Amazonas";"4º trimestre 2018";"1566"
"Força de trabalho - ocupada";"Amazonas";"1º trimestre 2019";"1548"
"Força de trabalho - ocupada";"Amazonas";"2º trimestre 2019";"1622"
"Força de trabalho - ocupada";"Amazonas";"3º trimestre 2019";"1642"
"Força de trabalho - ocupada";"Amazonas";"4º trimestre 2019";"1654"
"Força de trabalho - ocupada";"Amazonas";"1º trimestre 2020";"1629"
"Força de trabalho - ocupada";"Amazonas";"2º trimestre 2020";"1460"
"Força de trabalho - ocupada";"Amazonas";"3º trimestre 2020";"1529"
"Força de trabalho - ocupada";"Amazonas";"4º trimestre 2020";"1583"
"Força de trabalho - ocupada";"Amazonas";"1º trimestre 2021";"1540"
"Força de trabalho - ocupada";"Amazonas";"2º trimestre 2021";"1621"
"Força de trabalho - ocupada";"Amazonas";"3º trimestre 2021";"1701"
"Força de trabalho - ocupada";"Amazonas";"4º trimestre 2021";"1671"
"Força de trabalho - ocupada";"Roraima";"1º trimestre 2018";"213"
"Força de trabalho - ocupada";"Roraima";"2º trimestre 2018";"212"
"Força de trabalho - ocupada";"Roraima";"3º trimestre 2018";"211"
"Força de trabalho - ocupada";"Roraima";"4º trimestre 2018";"217"
"Força de trabalho - ocupada";"Roraima";"1º trimestre 2019";"218"
"Força de trabalho - ocupada";"Roraima";"2º trimestre 2019";"211"
"Força de trabalho - ocupada";"Roraima";"3º trimestre 2019";"212"
"Força de trabalho - ocupada";"Roraima";"4º trimestre 2019";"217"
"Força de trabalho - ocupada";"Roraima";"1º trimestre 2020";"212"
"Força de trabalho - ocupada";"Roraima";"2º trimestre 2020";"190"
"Força de trabalho - ocupada";"Roraima";"3º trimestre 2020";"191"
"Força de trabalho - ocupada";"Roraima";"4º trimestre 2020";"210"
"Força de trabalho - ocupada";"Roraima";"1º trimestre 2021";"215"
"Força de trabalho - ocupada";"Roraima";"2º trimestre 2021";"228"
"Força de trabalho - ocupada";"Roraima";"3º trimestre 2021";"234"
"Força de trabalho - ocupada";"Roraima";"4º trimestre 2021";"238"
"Força de trabalho - ocupada";"Pará";"1º trimestre 2018";"3324"
"Força de trabalho - ocupada";"Pará";"2º trimestre 2018";"3403"
"Força de trabalho - ocupada";"Pará";"3º trimestre 2018";"3414"
"Força de trabalho - ocupada";"Pará";"4º trimestre 2018";"3469"
"Força de trabalho - ocupada";"Pará";"1º trimestre 2019";"3392"
"Força de trabalho - ocupada";"Pará";"2º trimestre 2019";"3403"
"Força de trabalho - ocupada";"Pará";"3º trimestre 2019";"3471"
"Força de trabalho - ocupada";"Pará";"4º trimestre 2019";"3521"
"Força de trabalho - ocupada";"Pará";"1º trimestre 2020";"3457"
"Força de trabalho - ocupada";"Pará";"2º trimestre 2020";"3216"
"Força de trabalho - ocupada";"Pará";"3º trimestre 2020";"3293"
"Força de trabalho - ocupada";"Pará";"4º trimestre 2020";"3419"
"Força de trabalho - ocupada";"Pará";"1º trimestre 2021";"3250"
"Força de trabalho - ocupada";"Pará";"2º trimestre 2021";"3349"
"Força de trabalho - ocupada";"Pará";"3º trimestre 2021";"3529"
"Força de trabalho - ocupada";"Pará";"4º trimestre 2021";"3652"
"Força de trabalho - ocupada";"Amapá";"1º trimestre 2018";"290"
"Força de trabalho - ocupada";"Amapá";"2º trimestre 2018";"289"
"Força de trabalho - ocupada";"Amapá";"3º trimestre 2018";"312"
"Força de trabalho - ocupada";"Amapá";"4º trimestre 2018";"302"
"Força de trabalho - ocupada";"Amapá";"1º trimestre 2019";"305"
"Força de trabalho - ocupada";"Amapá";"2º trimestre 2019";"333"
"Força de trabalho - ocupada";"Amapá";"3º trimestre 2019";"325"
"Força de trabalho - ocupada";"Amapá";"4º trimestre 2019";"331"
"Força de trabalho - ocupada";"Amapá";"1º trimestre 2020";"320"
"Força de trabalho - ocupada";"Amapá";"2º trimestre 2020";"304"
"Força de trabalho - ocupada";"Amapá";"3º trimestre 2020";"299"
"Força de trabalho - ocupada";"Amapá";"4º trimestre 2020";"312"
"Força de trabalho - ocupada";"Amapá";"1º trimestre 2021";"312"
"Força de trabalho - ocupada";"Amapá";"2º trimestre 2021";"320"
"Força de trabalho - ocupada";"Amapá";"3º trimestre 2021";"335"
"Força de trabalho - ocupada";"Amapá";"4º trimestre 2021";"345"
"Força de trabalho - ocupada";"Tocantins";"1º trimestre 2018";"626"
"Força de trabalho - ocupada";"Tocantins";"2º trimestre 2018";"633"
"Força de trabalho - ocupada";"Tocantins";"3º trimestre 2018";"643"
"Força de trabalho - ocupada";"Tocantins";"4º trimestre 2018";"655"
"Força de trabalho - ocupada";"Tocantins";"1º trimestre 2019";"631"
"Força de trabalho - ocupada";"Tocantins";"2º trimestre 2019";"644"
"Força de trabalho - ocupada";"Tocantins";"3º trimestre 2019";"650"
"Força de trabalho - ocupada";"Tocantins";"4º trimestre 2019";"656"
"Força de trabalho - ocupada";"Tocantins";"1º trimestre 2020";"644"
"Força de trabalho - ocupada";"Tocantins";"2º trimestre 2020";"603"
"Força de trabalho - ocupada";"Tocantins";"3º trimestre 2020";"586"
"Força de trabalho - ocupada";"Tocantins";"4º trimestre 2020";"638"
"Força de trabalho - ocupada";"Tocantins";"1º trimestre 2021";"629"
"Força de trabalho - ocupada";"Tocantins";"2º trimestre 2021";"620"
"Força de trabalho - ocupada";"Tocantins";"3º trimestre 2021";"676"
"Força de trabalho - ocupada";"Tocantins";"4º trimestre 2021";"693"
"Força de trabalho - ocupada";"Maranhão";"1º trimestre 2018";"2258"
"Força de trabalho - ocupada";"Maranhão";"2º trimestre 2018";"2222"
"Força de trabalho - ocupada";"Maranhão";"3º trimestre 2018";"2257"
"Força de trabalho - ocupada";"Maranhão";"4º trimestre 2018";"2273"
"Força de trabalho - ocupada";"Maranhão";"1º trimestre 2019";"2163"
"Força de trabalho - ocupada";"Maranhão";"2º trimestre 2019";"2236"
"Força de trabalho - ocupada";"Maranhão";"3º trimestre 2019";"2274"
"Força de trabalho - ocupada";"Maranhão";"4º trimestre 2019";"2330"
"Força de trabalho - ocupada";"Maranhão";"1º trimestre 2020";"2212"
"Força de trabalho - ocupada";"Maranhão";"2º trimestre 2020";"1984"
"Força de trabalho - ocupada";"Maranhão";"3º trimestre 2020";"1993"
"Força de trabalho - ocupada";"Maranhão";"4º trimestre 2020";"2138"
"Força de trabalho - ocupada";"Maranhão";"1º trimestre 2021";"2131"
"Força de trabalho - ocupada";"Maranhão";"2º trimestre 2021";"2201"
"Força de trabalho - ocupada";"Maranhão";"3º trimestre 2021";"2317"
"Força de trabalho - ocupada";"Maranhão";"4º trimestre 2021";"2361"
"Força de trabalho - ocupada";"Piauí";"1º trimestre 2018";"1214"
"Força de trabalho - ocupada";"Piauí";"2º trimestre 2018";"1236"
"Força de trabalho - ocupada";"Piauí";"3º trimestre 2018";"1273"
"Força de trabalho - ocupada";"Piauí";"4º trimestre 2018";"1280"
"Força de trabalho - ocupada";"Piauí";"1º trimestre 2019";"1264"
"Força de trabalho - ocupada";"Piauí";"2º trimestre 2019";"1276"
"Força de trabalho - ocupada";"Piauí";"3º trimestre 2019";"1340"
"Força de trabalho - ocupada";"Piauí";"4º trimestre 2019";"1303"
"Força de trabalho - ocupada";"Piauí";"1º trimestre 2020";"1233"
"Força de trabalho - ocupada";"Piauí";"2º trimestre 2020";"1052"
"Força de trabalho - ocupada";"Piauí";"3º trimestre 2020";"1144"
"Força de trabalho - ocupada";"Piauí";"4º trimestre 2020";"1199"
"Força de trabalho - ocupada";"Piauí";"1º trimestre 2021";"1188"
"Força de trabalho - ocupada";"Piauí";"2º trimestre 2021";"1218"
"Força de trabalho - ocupada";"Piauí";"3º trimestre 2021";"1278"
"Força de trabalho - ocupada";"Piauí";"4º trimestre 2021";"1286"
"Força de trabalho - ocupada";"Ceará";"1º trimestre 2018";"3566"
"Força de trabalho - ocupada";"Ceará";"2º trimestre 2018";"3576"
"Força de trabalho - ocupada";"Ceará";"3º trimestre 2018";"3694"
"Força de trabalho - ocupada";"Ceará";"4º trimestre 2018";"3705"
"Força de trabalho - ocupada";"Ceará";"1º trimestre 2019";"3646"
"Força de trabalho - ocupada";"Ceará";"2º trimestre 2019";"3705"
"Força de trabalho - ocupada";"Ceará";"3º trimestre 2019";"3706"
"Força de trabalho - ocupada";"Ceará";"4º trimestre 2019";"3790"
"Força de trabalho - ocupada";"Ceará";"1º trimestre 2020";"3630"
"Força de trabalho - ocupada";"Ceará";"2º trimestre 2020";"3158"
"Força de trabalho - ocupada";"Ceará";"3º trimestre 2020";"3097"
"Força de trabalho - ocupada";"Ceará";"4º trimestre 2020";"3300"
"Força de trabalho - ocupada";"Ceará";"1º trimestre 2021";"3129"
"Força de trabalho - ocupada";"Ceará";"2º trimestre 2021";"3251"
"Força de trabalho - ocupada";"Ceará";"3º trimestre 2021";"3460"
"Força de trabalho - ocupada";"Ceará";"4º trimestre 2021";"3522"
"Força de trabalho - ocupada";"Rio Grande do Norte";"1º trimestre 2018";"1289"
"Força de trabalho - ocupada";"Rio Grande do Norte";"2º trimestre 2018";"1319"
"Força de trabalho - ocupada";"Rio Grande do Norte";"3º trimestre 2018";"1366"
"Força de trabalho - ocupada";"Rio Grande do Norte";"4º trimestre 2018";"1337"
"Força de trabalho - ocupada";"Rio Grande do Norte";"1º trimestre 2019";"1308"
"Força de trabalho - ocupada";"Rio Grande do Norte";"2º trimestre 2019";"1346"
"Força de trabalho - ocupada";"Rio Grande do Norte";"3º trimestre 2019";"1333"
"Força de trabalho - ocupada";"Rio Grande do Norte";"4º trimestre 2019";"1335"
"Força de trabalho - ocupada";"Rio Grande do Norte";"1º trimestre 2020";"1321"
"Força de trabalho - ocupada";"Rio Grande do Norte";"2º trimestre 2020";"1157"
"Força de trabalho - ocupada";"Rio Grande do Norte";"3º trimestre 2020";"1154"
"Força de trabalho - ocupada";"Rio Grande do Norte";"4º trimestre 2020";"1272"
"Força de trabalho - ocupada";"Rio Grande do Norte";"1º trimestre 2021";"1281"
"Força de trabalho - ocupada";"Rio Grande do Norte";"2º trimestre 2021";"1246"
"Força de trabalho - ocupada";"Rio Grande do Norte";"3º trimestre 2021";"1281"
"Força de trabalho - ocupada";"Rio Grande do Norte";"4º trimestre 2021";"1341"
"Força de trabalho - ocupada";"Paraíba";"1º trimestre 2018";"1504"
"Força de trabalho - ocupada";"Paraíba";"2º trimestre 2018";"1510"
"Força de trabalho - ocupada";"Paraíba";"3º trimestre 2018";"1541"
"Força de trabalho - ocupada";"Paraíba";"4º trimestre 2018";"1532"
"Força de trabalho - ocupada";"Paraíba";"1º trimestre 2019";"1494"
"Força de trabalho - ocupada";"Paraíba";"2º trimestre 2019";"1492"
"Força de trabalho - ocupada";"Paraíba";"3º trimestre 2019";"1506"
"Força de trabalho - ocupada";"Paraíba";"4º trimestre 2019";"1489"
"Força de trabalho - ocupada";"Paraíba";"1º trimestre 2020";"1440"
"Força de trabalho - ocupada";"Paraíba";"2º trimestre 2020";"1287"
"Força de trabalho - ocupada";"Paraíba";"3º trimestre 2020";"1252"
"Força de trabalho - ocupada";"Paraíba";"4º trimestre 2020";"1362"
"Força de trabalho - ocupada";"Paraíba";"1º trimestre 2021";"1350"
"Força de trabalho - ocupada";"Paraíba";"2º trimestre 2021";"1330"
"Força de trabalho - ocupada";"Paraíba";"3º trimestre 2021";"1366"
